cluster_id,Alumbrado,Delito Nocturno,score_riesgo,lat_centroide,lon_centroide,rango
22,312,2843,887016,19.429871088708204,-99.150127820117,1
17,245,1670,409150,19.400143631003537,-99.13154802216671,2
18,216,1883,406728,19.465824213769906,-99.13840527430347,3
24,168,1454,244272,19.317346704906246,-99.16345065744898,4
2,105,1856,194880,19.403849517494344,-99.17306015261087,5
