alcaldia_catalogo,colonia_catalogo,total_incidencias,total_delitos,total_alumbrado,total_delitos_nocturnos,out_iqr_total_incidencias,out_zscore_total_incidencias,out_iqr_total_delitos,out_zscore_total_delitos,out_iqr_total_alumbrado,out_zscore_total_alumbrado,out_iqr_total_delitos_nocturnos,out_zscore_total_delitos_nocturnos,anomaly_score,out_isoforest,out_iqr_any,out_zscore_any,outlier_consenso
Azcapotzalco,Plenitud,32,53,2.0,13.0,False,False,False,False,False,False,False,False,0.1944050944092623,False,False,False,False
Azcapotzalco,Porvenir,5,46,0.0,13.0,False,False,False,False,False,False,False,False,0.21516600837587363,False,False,False,False
Azcapotzalco,Potrero Del Llano,4,10,0.0,1.0,False,False,False,False,False,False,False,False,0.19439260266306457,False,False,False,False
Azcapotzalco,Prados Del Rosario,27,59,2.0,16.0,False,False,False,False,False,False,False,False,0.1941639317858675,False,False,False,False
Azcapotzalco,Pro Hogar,52,149,12.0,55.0,False,False,False,False,True,False,False,False,0.017660509055701046,False,True,False,False
Azcapotzalco,Providencia,50,91,3.0,25.0,False,False,False,False,False,False,False,False,0.16164328574081377,False,False,False,False
Azcapotzalco,Pueblo San Andres,55,40,4.0,10.0,False,False,False,False,False,False,False,False,0.13980583314732498,False,False,False,False
Azcapotzalco,Pueblo San Andres De Las Salinas,2,8,0.0,2.0,False,False,False,False,False,False,False,False,0.20332988876993302,False,False,False,False
Azcapotzalco,Pueblo San Bartolo Cahualtongo,3,28,1.0,6.0,False,False,False,False,False,False,False,False,0.21038270035711437,False,False,False,False
Azcapotzalco,Pueblo San Francisco Tetecala,44,72,2.0,19.0,False,False,False,False,False,False,False,False,0.17787298305674215,False,False,False,False
Azcapotzalco,Pueblo San Francisco Xocotitla,3,53,0.0,17.0,False,False,False,False,False,False,False,False,0.2108226532315854,False,False,False,False
Azcapotzalco,Pueblo San Juan Tlihuaca,62,129,2.0,39.0,True,False,False,False,False,False,False,False,0.14829528209162823,False,True,False,False
Azcapotzalco,Pueblo San Martin Xochinahuac,85,122,3.0,35.0,True,False,False,False,False,False,False,False,0.12260209382639986,False,True,False,False
Azcapotzalco,Pueblo San Miguel Amantla,27,92,7.0,17.0,False,False,False,False,True,False,False,False,0.12612858216746975,False,True,False,False
Azcapotzalco,Pueblo San Pedro Xalpa,13,105,0.0,29.0,False,False,False,False,False,False,False,False,0.18349966998652084,False,False,False,False
Azcapotzalco,Pueblo Santa Barbara,39,118,1.0,26.0,False,False,False,False,False,False,False,False,0.17256286019627537,False,False,False,False
Azcapotzalco,Pueblo Santa Catarina,5,32,0.0,10.0,False,False,False,False,False,False,False,False,0.2175683830412803,False,False,False,False
Azcapotzalco,Pueblo Santa Cruz Acayucan,6,25,0.0,4.0,False,False,False,False,False,False,False,False,0.21391856825485078,False,False,False,False
Azcapotzalco,Pueblo Santa Maria Malinalco,13,67,1.0,15.0,False,False,False,False,False,False,False,False,0.2079968943449832,False,False,False,False
Azcapotzalco,Pueblo Santiago Ahuizotla,25,122,2.0,26.0,False,False,False,False,False,False,False,False,0.17312148510959935,False,False,False,False
Azcapotzalco,Pueblo Santo Domingo,24,51,2.0,17.0,False,False,False,False,False,False,False,False,0.19480630095729545,False,False,False,False
Azcapotzalco,Reynosa Tamaulipas,48,72,0.0,17.0,False,False,False,False,False,False,False,False,0.17566115861266224,False,False,False,False
Azcapotzalco,San Alvaro,23,80,2.0,23.0,False,False,False,False,False,False,False,False,0.18625730700711174,False,False,False,False
Azcapotzalco,San Antonio,18,53,7.0,17.0,False,False,False,False,True,False,False,False,0.13696287777484062,False,True,False,False
Azcapotzalco,San Rafael,7,24,0.0,9.0,False,False,False,False,False,False,False,False,0.21809561751585227,False,False,False,False
Azcapotzalco,San Salvador Xochimanca,11,29,0.0,6.0,False,False,False,False,False,False,False,False,0.21582900027373064,False,False,False,False
Azcapotzalco,San Sebastian,9,39,1.0,11.0,False,False,False,False,False,False,False,False,0.2129522925879967,False,False,False,False
Azcapotzalco,Santa Cruz De Las Salinas,11,76,0.0,18.0,False,False,False,False,False,False,False,False,0.20644207882949467,False,False,False,False
Azcapotzalco,Santa Ines,30,34,0.0,13.0,False,False,False,False,False,False,False,False,0.20335052415499405,False,False,False,False
Azcapotzalco,Santo Tomas,18,72,0.0,18.0,False,False,False,False,False,False,False,False,0.20315038858328527,False,False,False,False
Azcapotzalco,Sector Naval,5,10,2.0,4.0,False,False,False,False,False,False,False,False,0.18629045519022414,False,False,False,False
Azcapotzalco,Sindicato Mexicano De Electricistas,20,41,1.0,10.0,False,False,False,False,False,False,False,False,0.20552771442492018,False,False,False,False
Azcapotzalco,Tezozomoc,34,121,3.0,35.0,False,False,False,False,False,False,False,False,0.15257203764436467,False,False,False,False
Azcapotzalco,Tierra Nueva,5,63,0.0,17.0,False,False,False,False,False,False,False,False,0.2075906500361221,False,False,False,False
Azcapotzalco,Tlatilco,34,53,2.0,16.0,False,False,False,False,False,False,False,False,0.19144663716563587,False,False,False,False
Azcapotzalco,Trabajadores De Hierro,9,20,0.0,6.0,False,False,False,False,False,False,False,False,0.21861182942401403,False,False,False,False
Azcapotzalco,Un Hogar Para Cada Trabajador,4,27,0.0,5.0,False,False,False,False,False,False,False,False,0.21848151117128117,False,False,False,False
Azcapotzalco,Unidad Cuitlahuac,31,77,2.0,15.0,False,False,False,False,False,False,False,False,0.18498580508589202,False,False,False,False
Azcapotzalco,Victoria De Las Democracias,17,126,0.0,24.0,False,False,False,False,False,False,False,False,0.1757045265058474,False,False,False,False
Benito Juárez,8 De Agosto,6,37,2.0,7.0,False,False,False,False,False,False,False,False,0.20134219072408394,False,False,False,False
Benito Juárez,Acacias,16,97,0.0,16.0,False,False,False,False,False,False,False,False,0.18884095934435324,False,False,False,False
Benito Juárez,Actipan,18,74,0.0,14.0,False,False,False,False,False,False,False,False,0.20218734577755315,False,False,False,False
Benito Juárez,Alamos,98,420,18.0,146.0,True,False,True,False,True,False,True,False,-0.09385497621437922,True,True,False,True
Benito Juárez,Albert,2,60,1.0,14.0,False,False,False,False,False,False,False,False,0.2007077069193719,False,False,False,False
Benito Juárez,Americas Unidas,19,111,0.0,22.0,False,False,False,False,False,False,False,False,0.17516434732728053,False,False,False,False
Benito Juárez,Ampliacion Napoles,12,97,0.0,15.0,False,False,False,False,False,False,False,False,0.1924266134447209,False,False,False,False
Benito Juárez,Atenor Salas,3,33,0.0,8.0,False,False,False,False,False,False,False,False,0.22226634358607733,False,False,False,False
Benito Juárez,Barrio Santa Maria Nonoalco,1,1,0.0,0.0,False,False,False,False,False,False,False,False,0.16508938421146796,False,False,False,False
Benito Juárez,Ciudad De Los Deportes,28,128,4.0,42.0,False,False,False,False,False,False,False,False,0.14033612814914037,False,False,False,False
Benito Juárez,Credito Constructor,4,54,1.0,15.0,False,False,False,False,False,False,False,False,0.20932692969490052,False,False,False,False
Benito Juárez,Del Carmen,8,37,0.0,15.0,False,False,False,False,False,False,False,False,0.21485452385726073,False,False,False,False
Benito Juárez,Del Lago,2,18,0.0,6.0,False,False,False,False,False,False,False,False,0.21964740844721586,False,False,False,False
Benito Juárez,Del Valle Centro,84,673,6.0,138.0,True,False,True,True,True,False,True,False,-0.08229177205615046,True,True,True,True
Benito Juárez,Del Valle Norte,98,520,11.0,96.0,True,False,True,False,True,False,True,False,-0.05263312425950395,True,True,False,True
Benito Juárez,Del Valle Sur,78,593,4.0,146.0,True,False,True,False,False,False,True,False,-0.07069206422386876,True,True,False,True
Benito Juárez,Ermita,10,31,1.0,8.0,False,False,False,False,False,False,False,False,0.21002681945117796,False,False,False,False
Benito Juárez,Escandon Ii Seccion,1,1,1.0,0.0,False,False,False,False,False,False,False,False,0.15234829426640517,False,False,False,False
Benito Juárez,Extremadura Insurgentes,14,58,0.0,14.0,False,False,False,False,False,False,False,False,0.21210783195373023,False,False,False,False
Benito Juárez,General Pedro Ma Anaya,21,127,5.0,32.0,False,False,False,False,False,False,False,False,0.1391766896190078,False,False,False,False
Benito Juárez,Independencia,28,166,4.0,51.0,False,False,False,False,False,False,False,False,0.12381059436559799,False,False,False,False
Benito Juárez,Insurgentes Mixcoac,25,212,5.0,52.0,False,False,False,False,False,False,False,False,0.10583356527048005,False,False,False,False
Benito Juárez,Insurgentes San Borja,10,52,0.0,12.0,False,False,False,False,False,False,False,False,0.21523592318523077,False,False,False,False
Benito Juárez,Iztaccihuatl,11,48,3.0,12.0,False,False,False,False,False,False,False,False,0.18903462267671767,False,False,False,False
Benito Juárez,Josefa Ortiz De Dominguez,8,21,0.0,10.0,False,False,False,False,False,False,False,False,0.21435070372344944,False,False,False,False
Benito Juárez,Letran Valle,31,223,2.0,55.0,False,False,True,False,False,False,False,False,0.12178828615954829,False,True,False,False
Benito Juárez,Merced Gomez,4,61,0.0,8.0,False,False,False,False,False,False,False,False,0.20730566916345955,False,False,False,False
Benito Juárez,Miguel Aleman,5,17,0.0,3.0,False,False,False,False,False,False,False,False,0.20899990706682814,False,False,False,False
Benito Juárez,Miravalle,19,73,2.0,17.0,False,False,False,False,False,False,False,False,0.19068494615527987,False,False,False,False
Benito Juárez,Mixcoac,23,129,1.0,30.0,False,False,False,False,False,False,False,False,0.17354694606184418,False,False,False,False
Benito Juárez,Moderna,43,183,7.0,53.0,False,False,False,False,True,False,False,False,0.0974030105977704,False,True,False,False
Benito Juárez,Napoles,45,491,2.0,115.0,False,False,True,False,False,False,True,False,-0.01750985332225996,True,True,False,True
Benito Juárez,Narvarte Oriente,82,488,10.0,122.0,True,False,True,False,True,False,True,False,-0.04505842233621937,True,True,False,True
Benito Juárez,Narvarte Poniente,102,636,14.0,191.0,True,False,True,True,True,False,True,True,-0.12878286313308163,True,True,True,True
Benito Juárez,Nativitas,52,191,17.0,44.0,False,False,False,False,True,False,False,False,-0.021352694740980005,True,True,False,True
Benito Juárez,Niños Heroes,17,146,4.0,48.0,False,False,False,False,False,False,False,False,0.129726824891311,False,False,False,False
Benito Juárez,Noche Buena,18,50,0.0,16.0,False,False,False,False,False,False,False,False,0.2091912548166039,False,False,False,False
Benito Juárez,Periodista,18,26,2.0,11.0,False,False,False,False,False,False,False,False,0.1955879194356272,False,False,False,False
Benito Juárez,Piedad Narvarte,11,326,1.0,81.0,False,False,True,False,False,False,True,False,0.041107664066317606,False,True,False,False
Benito Juárez,Portales Norte,68,340,7.0,99.0,True,False,True,False,True,False,True,False,0.013455984114417396,False,True,False,False
Benito Juárez,Portales Oriente,9,99,1.0,27.0,False,False,False,False,False,False,False,False,0.19015673973000186,False,False,False,False
Benito Juárez,Portales Sur,68,325,7.0,95.0,True,False,True,False,True,False,True,False,0.023177623229654776,False,True,False,False
Benito Juárez,Postal,13,58,0.0,21.0,False,False,False,False,False,False,False,False,0.2074352957620394,False,False,False,False
Benito Juárez,Residencial Emperadores,4,47,0.0,8.0,False,False,False,False,False,False,False,False,0.21571399046968293,False,False,False,False
Benito Juárez,San Jose Insurgentes,28,165,1.0,50.0,False,False,False,False,False,False,False,False,0.13687293450306115,False,False,False,False
Benito Juárez,San Juan,16,137,2.0,33.0,False,False,False,False,False,False,False,False,0.16047117409622158,False,False,False,False
