alcaldia,total_delitos
Cuauhtémoc,19141
Iztapalapa,17846
Gustavo A. Madero,13255
Benito Juárez,10020
Coyoacán,9281
Tlalpan,8837
Álvaro Obregón,8573
Miguel Hidalgo,7954
Venustiano Carranza,7545
Iztacalco,6075
Azcapotzalco,5761
Cdmx (Indeterminada),5181
Xochimilco,4475
Tláhuac,4307
La Magdalena Contreras,2747
Cuajimalpa De Morelos,2354
Desconocida,2044
Fuera De Cdmx,1778
Milpa Alta,1445
