alcaldia_catalogo,colonia_catalogo,total_incidencias,total_delitos,total_falla_alumbrado,total_delitos_nocturnos
Gustavo A. Madero,Residencial Zacatenco,34,140,8.0,29.0
Gustavo A. Madero,Rosas Del Tepeyac,1,15,0.0,4.0
Gustavo A. Madero,Salvador Diaz Miron,5,74,0.0,26.0
Gustavo A. Madero,San Antonio,1,8,1.0,2.0
Gustavo A. Madero,San Bartolo Atepehuacan,33,108,0.0,29.0
Gustavo A. Madero,San Felipe De Jesus,52,415,13.0,125.0
Gustavo A. Madero,San Jose De La Escalera,8,55,0.0,17.0
Gustavo A. Madero,San Jose Ticoman,22,29,0.0,12.0
Gustavo A. Madero,San Juan De Aragon,14,38,0.0,9.0
Gustavo A. Madero,San Juan De Aragon I Seccion,40,206,8.0,61.0
Gustavo A. Madero,San Juan De Aragon Ii Seccion,50,131,3.0,33.0
Gustavo A. Madero,San Juan De Aragon Iii Seccion,19,137,2.0,39.0
Gustavo A. Madero,San Juan De Aragon Iv Seccion,10,63,2.0,17.0
Gustavo A. Madero,San Juan De Aragon V Seccion,13,92,2.0,22.0
Gustavo A. Madero,San Juan De Aragon Vi Seccion,45,107,7.0,27.0
Gustavo A. Madero,San Juan De Aragon Vii Seccion,18,172,0.0,46.0
Gustavo A. Madero,San Miguel,3,6,0.0,3.0
Gustavo A. Madero,San Pedro El Chico,18,51,1.0,14.0
Gustavo A. Madero,San Pedro Zacatenco,15,53,3.0,15.0
Gustavo A. Madero,Santa Isabel Tola,38,161,5.0,44.0
Gustavo A. Madero,Santa Maria Ticoman,29,52,0.0,21.0
Gustavo A. Madero,Santa Rosa,49,106,0.0,29.0
Gustavo A. Madero,Santiago Atepetlac,10,19,0.0,1.0
Gustavo A. Madero,Siete Maravillas,7,21,0.0,7.0
Gustavo A. Madero,Solidaridad Nacional,4,27,0.0,7.0
Gustavo A. Madero,Tablas De San Agustin,20,62,0.0,11.0
Gustavo A. Madero,Tepetates,3,4,0.0,1.0
Gustavo A. Madero,Tepeyac Insurgentes,28,173,7.0,38.0
Gustavo A. Madero,Tlacaelel,10,15,1.0,3.0
Gustavo A. Madero,Tlacamaca,13,32,2.0,7.0
Gustavo A. Madero,Tlalpexco,23,52,5.0,16.0
Gustavo A. Madero,Torres Lindavista,17,24,0.0,8.0
Gustavo A. Madero,Tres Estrellas,7,59,1.0,12.0
Gustavo A. Madero,Triunfo De La Republica,7,24,0.0,9.0
Gustavo A. Madero,U.Habit. Cuchilla Del Tesoro,1,3,0.0,2.0
Gustavo A. Madero,Valle De Madero,7,44,1.0,13.0
Gustavo A. Madero,Valle Del Tepeyac,15,23,2.0,5.0
Gustavo A. Madero,Vallejo,42,325,6.0,80.0
Gustavo A. Madero,Vallejo Poniente,28,44,0.0,23.0
Gustavo A. Madero,Vasco De Quiroga,13,158,1.0,57.0
Gustavo A. Madero,Villa De Aragon,32,60,7.0,14.0
Gustavo A. Madero,Villa Gustavo A Madero,22,203,2.0,32.0
Gustavo A. Madero,Villa Hermosa,2,11,0.0,5.0
Gustavo A. Madero,Vista Hermosa,4,14,0.0,4.0
Gustavo A. Madero,Zona Escolar,23,148,3.0,27.0
Gustavo A. Madero,Zona Escolar Oriente,54,55,5.0,14.0
Iztacalco,Agricola Oriental,578,1326,57.0,382.0
Iztacalco,Agricola Pantitlan,293,914,21.0,262.0
Iztacalco,Ampliacion Gabriel Ramos Millan,13,62,1.0,16.0
Iztacalco,Barrio La Asuncion,20,42,3.0,14.0
Iztacalco,Barrio Los Reyes,37,75,0.0,16.0
Iztacalco,Barrio San Francisco Xicaltongo,19,32,11.0,12.0
Iztacalco,Barrio San Miguel,51,59,3.0,20.0
Iztacalco,Barrio San Pedro,18,87,5.0,23.0
Iztacalco,Barrio Santa Cruz,13,18,2.0,7.0
Iztacalco,Barrio Santiago Norte,60,43,44.0,10.0
Iztacalco,Barrio Santiago Sur,41,102,3.0,25.0
Iztacalco,Barrio Zapotla,28,79,8.0,33.0
Iztacalco,Campamento 2 De Octubre,79,282,6.0,96.0
Iztacalco,Carlos Zapata Vela,27,129,2.0,41.0
Iztacalco,Cuchilla Agricola Oriental,15,26,2.0,11.0
Iztacalco,El Rodeo,37,58,8.0,15.0
Iztacalco,Ex-Ejido La Magdalena Mixhuca,3,24,0.0,8.0
Iztacalco,Fraccionamiento Coyuya,3,20,0.0,9.0
Iztacalco,Gabriel Ramos Millan,66,159,11.0,50.0
Iztacalco,Gabriel Ramos Millan Secc Tlacotal,48,97,0.0,34.0
Iztacalco,Gabriel Ramos Millan Seccion Bramadero,69,377,8.0,103.0
Iztacalco,Gabriel Ramos Millan Seccion Cuchilla,17,70,1.0,20.0
Iztacalco,Granjas Mexico,112,647,9.0,214.0
Iztacalco,Infonavit Iztacalco,68,248,15.0,76.0
Iztacalco,Inpi Picos,4,38,0.0,10.0
Iztacalco,Jardines Tecma,20,19,1.0,3.0
Iztacalco,Juventino Rosas,83,204,4.0,67.0
Iztacalco,La Cruz,11,68,0.0,22.0
Iztacalco,Los Picos De Iztacalco Seccion 1 A,14,45,3.0,12.0
Iztacalco,Los Picos De Iztacalco Seccion 1 B,6,18,2.0,7.0
Iztacalco,Los Picos De Iztacalco Seccion 2 A,12,12,2.0,4.0
Iztacalco,Militar Marte,26,74,3.0,18.0
Iztacalco,Moderna,2,1,0.0,0.0
Iztacalco,Nueva Santa Anita,11,41,4.0,14.0
Iztacalco,Reforma Iztaccihuatl Norte,60,72,3.0,18.0
Iztacalco,Reforma Iztaccihuatl Sur,13,48,1.0,14.0
Iztacalco,Santa Anita,31,190,1.0,58.0
Iztacalco,Tlazintla,29,55,2.0,13.0
Iztacalco,Viaducto Piedad,73,195,11.0,66.0
Iztapalapa,12 De Diciembre,8,27,0.0,7.0
Iztapalapa,Agricola Oriental,2,3,0.0,2.0
Iztapalapa,Agricola Pantitlan,1,3,0.0,1.0
Iztapalapa,Albarrada,1,8,0.0,3.0
Iztapalapa,Alvaro Obregon,22,71,0.0,19.0
Iztapalapa,Ampliacion Bellavista,2,9,0.0,1.0
Iztapalapa,Ampliacion El Santuario,4,50,1.0,14.0
Iztapalapa,Ampliacion El Triunfo,131,34,0.0,14.0
Iztapalapa,Ampliacion Emiliano Zapata,75,68,0.0,25.0
Iztapalapa,Ampliacion Los Olivos,30,2,0.0,2.0
Iztapalapa,Ampliacion Los Reyes,12,61,0.0,19.0
Iztapalapa,Ampliacion Paraje San Juan,32,20,0.0,6.0
Iztapalapa,Ampliacion Ricardo Flores Magon,9,29,0.0,10.0
Iztapalapa,Ampliacion Santa Maria Aztahuacan,172,89,1.0,22.0
Iztapalapa,Ampliacion Sinatel,18,34,0.0,9.0
Iztapalapa,Ampliacion Veracruzana,18,8,0.0,3.0
Iztapalapa,Apatlaco,181,102,1.0,28.0
Iztapalapa,Año De Juarez,9,53,2.0,11.0
Iztapalapa,Banjidal,15,34,0.0,12.0
Iztapalapa,Barranca De Guadalupe,7,13,0.0,7.0
Iztapalapa,Barrio Guadalupe,33,45,0.0,8.0
Iztapalapa,Barrio La Asuncion,18,47,0.0,14.0
Iztapalapa,Barrio San Antonio,167,135,1.0,46.0
Iztapalapa,Barrio San Antonio Culhuacan,11,73,0.0,23.0
Iztapalapa,Barrio San Ignacio,28,93,0.0,31.0
Iztapalapa,Barrio San Jose,6,18,1.0,1.0
Iztapalapa,Barrio San Lorenzo,35,47,1.0,18.0
Iztapalapa,Barrio San Lucas,171,143,2.0,27.0
Iztapalapa,Barrio San Miguel,68,264,1.0,80.0
Iztapalapa,Barrio San Pablo,17,108,0.0,36.0
Iztapalapa,Barrio San Pedro,23,80,3.0,27.0
Iztapalapa,Barrio San Simon Culhuacan,10,22,0.0,5.0
Iztapalapa,Barrio Santa Barbara,37,155,0.0,37.0
Iztapalapa,Barrio Tula,13,6,2.0,3.0
Iztapalapa,Bellavista,37,17,0.0,6.0
Iztapalapa,Benito Juarez,5,6,0.0,3.0
Iztapalapa,Buenavista,1187,249,3.0,73.0
Iztapalapa,Cacama,75,62,1.0,13.0
Iztapalapa,Campestre Potrero,89,111,1.0,39.0
Iztapalapa,Cananea,12,22,0.0,10.0
Iztapalapa,Carlos Hank Gonzalez,520,50,2.0,15.0
Iztapalapa,Carlos Jonguitud Barrios,7,19,0.0,5.0
Iztapalapa,Casa Blanca,47,31,0.0,8.0
Iztapalapa,Celoalliotli,62,95,1.0,23.0
Iztapalapa,Central De Abasto,23,533,0.0,120.0
Iztapalapa,Cerro De La Estrella,631,203,0.0,59.0
Iztapalapa,Chinampac De Juarez,134,528,0.0,117.0
Iztapalapa,Citlalli,352,104,0.0,33.0
Iztapalapa,Colonial Iztapalapa,30,17,0.0,3.0
Iztapalapa,Consejo Agrarista Mexicano,645,201,0.0,62.0
Iztapalapa,Constitucion De 1917,174,219,10.0,72.0
Iztapalapa,Coop Allapetlalli,2,12,0.0,3.0
Iztapalapa,Cuchilla Del Moral,40,27,0.0,8.0
Iztapalapa,Degollado,59,11,0.0,1.0
Iztapalapa,Degollado-Mexicatlalli,42,72,0.0,24.0
Iztapalapa,Desarrollo Urbano Quetzalcoatl,735,458,7.0,136.0
Iztapalapa,Dr Alfonso Ortiz Tirado,59,160,0.0,27.0
Iztapalapa,Ejercito De Agua Prieta,53,148,3.0,51.0
Iztapalapa,Ejercito De Oriente,107,70,1.0,19.0
Iztapalapa,Ejercito De Oriente Zona Peñon,29,205,1.0,67.0
Iztapalapa,El Eden,231,8,0.0,2.0
Iztapalapa,El Manto,401,89,1.0,32.0
Iztapalapa,El Mirador,4,28,1.0,9.0
Iztapalapa,El Molino,163,25,1.0,8.0
Iztapalapa,El Molino Tezonco,592,51,1.0,21.0
Iztapalapa,El Paraiso,38,124,0.0,34.0
Iztapalapa,El Prado,15,29,0.0,6.0
Iztapalapa,El Retoño,52,100,0.0,25.0
Iztapalapa,El Rodeo,38,34,0.0,13.0
Iztapalapa,El Rosario,111,63,2.0,20.0
Iztapalapa,El Santuario,38,44,1.0,19.0
Iztapalapa,El Sifon,83,105,1.0,33.0
Iztapalapa,El Triangulo,1559,18,0.0,6.0
Iztapalapa,El Triunfo,51,40,0.0,10.0
Iztapalapa,El Vergel,123,135,1.0,38.0
Iztapalapa,Ermita Zaragoza,216,247,2.0,66.0
Iztapalapa,Escuadron 201,134,145,1.0,38.0
Iztapalapa,Estado De Veracruz,3,2,0.0,0.0
Iztapalapa,Estrella Culhuacan,7,19,0.0,5.0
Iztapalapa,Estrella Del Sur,126,57,0.0,13.0
Iztapalapa,Eva Samano De Lopez Mateos,5,20,0.0,9.0
Iztapalapa,Francisco Villa,351,88,1.0,30.0
Iztapalapa,Fuego Nuevo,451,86,0.0,34.0
Iztapalapa,Granjas De San Antonio,88,108,0.0,31.0
Iztapalapa,Granjas Esmeralda,21,68,1.0,19.0
Iztapalapa,Granjas Estrella,295,52,1.0,13.0
Iztapalapa,Guadalupe Del Moral,141,171,2.0,41.0
Iztapalapa,Heroes De Churubusco,30,51,1.0,13.0
Iztapalapa,Insurgentes,157,44,0.0,14.0
Iztapalapa,Ixtlahuacan,569,100,3.0,34.0
Iztapalapa,Jacarandas,46,81,0.0,27.0
Iztapalapa,Jardines De Churubusco,22,16,0.0,5.0
Iztapalapa,Jardines De San Lorenzo Tezonco,33,47,2.0,11.0
Iztapalapa,Jose Lopez Portillo,307,190,1.0,60.0
Iztapalapa,Jose Maria Morelos Y Pavon,5,19,1.0,5.0
Iztapalapa,Juan Escutia,61,387,7.0,113.0
Iztapalapa,Justo Sierra,9,10,0.0,4.0
Iztapalapa,La Era,137,69,0.0,22.0
Iztapalapa,La Esperanza,46,197,0.0,65.0
Iztapalapa,La Estacion,18,9,0.0,4.0
Iztapalapa,La Planta,45,40,0.0,16.0
Iztapalapa,Las Arboledas,4,1,0.0,0.0
Iztapalapa,Las Peñas,200,74,0.0,25.0
Iztapalapa,Leyes De Reforma 1A Seccion,34,94,0.0,27.0
Iztapalapa,Leyes De Reforma 2A Seccion,64,30,1.0,12.0
Iztapalapa,Leyes De Reforma 3A Seccion,1025,297,0.0,82.0
Iztapalapa,Lomas De La Estancia,124,161,1.0,60.0
Iztapalapa,Lomas De San Lorenzo,151,442,6.0,106.0
Iztapalapa,Lomas De Sta Cruz,31,27,0.0,10.0
Iztapalapa,Lomas De Zaragoza,61,112,0.0,39.0
Iztapalapa,Lomas El Manto,24,12,0.0,4.0
Iztapalapa,Lomas Estrella,73,134,3.0,31.0
Iztapalapa,Los Angeles,200,224,3.0,68.0
Iztapalapa,Los Angeles Apanoaya,48,31,0.0,10.0
Iztapalapa,Los Cipreses,8,17,0.0,5.0
Iztapalapa,Los Picos,18,61,0.0,17.0
Iztapalapa,Miguel De La Madrid Hurtado,299,132,1.0,30.0
Iztapalapa,Minerva,15,24,2.0,6.0
Iztapalapa,Miravalles,97,62,0.0,13.0
Iztapalapa,Mixcoatl,1856,50,1.0,20.0
Iztapalapa,Monte Alban,16,31,0.0,7.0
Iztapalapa,Nueva Rosita,31,37,0.0,7.0
Iztapalapa,Palmitas,129,73,0.0,21.0
Iztapalapa,Paraje San Juan,258,80,1.0,28.0
Iztapalapa,Paraje San Juan Cerro,29,44,4.0,11.0
Iztapalapa,Paraje Zacatepec,852,100,1.0,26.0
Iztapalapa,Parque Nacional Cerro De La Estrella,35,13,0.0,3.0
Iztapalapa,Paseos De Churubusco,78,94,3.0,25.0
Iztapalapa,Plan De Iguala,26,11,3.0,1.0
Iztapalapa,Polvorilla,4602,101,1.0,33.0
Iztapalapa,Prado Churubusco,2,4,0.0,1.0
Iztapalapa,Presidentes De Mexico,50,139,0.0,47.0
Iztapalapa,Progresista,124,115,3.0,44.0
Iztapalapa,Progreso Del Sur,42,17,0.0,7.0
Iztapalapa,Pueblo Aculco,171,87,0.0,19.0
Iztapalapa,Pueblo Culhuacan,10,87,1.0,31.0
Iztapalapa,Pueblo Los Reyes Culhuacan,7,90,2.0,21.0
Iztapalapa,Pueblo Magdalena Atlazolpa,188,50,0.0,24.0
Iztapalapa,Pueblo Mexicaltzingo,14,50,0.0,16.0
Iztapalapa,Pueblo San Andres Tomatlan,16,48,1.0,13.0
Iztapalapa,Pueblo San Juanico Nextipac,44,17,0.0,4.0
Iztapalapa,Pueblo San Lorenzo Tezonco,736,194,1.0,48.0
Iztapalapa,Pueblo San Lorenzo Xicotencatl,23,64,3.0,19.0
Iztapalapa,Pueblo San Sebastian Tecoloxtitla,169,63,1.0,24.0
Iztapalapa,Pueblo Santa Maria Aztahuacan,649,134,3.0,48.0
Iztapalapa,Pueblo Santa Maria Tomatlan,24,67,0.0,20.0
Iztapalapa,Pueblo Santa Martha Acatitla,104,365,0.0,73.0
Iztapalapa,Pueblo Santiago Acahualtepec,50,55,0.0,15.0
Iztapalapa,Pueblo Sta Cruz Meyehualco,24,146,0.0,48.0
Iztapalapa,Puente Blanco,27,89,0.0,34.0
Iztapalapa,Purisima Atlazolpa,8,30,0.0,11.0
Iztapalapa,Real Del Moral,47,45,4.0,11.0
Iztapalapa,Reforma Politica,84,166,1.0,46.0
Iztapalapa,Renovacion,38,167,0.0,58.0
Iztapalapa,Ricardo Flores Magon,27,17,0.0,7.0
Iztapalapa,San Andres Tetepilco,57,109,2.0,37.0
Iztapalapa,San Antonio Culhuacan,34,15,0.0,5.0
Iztapalapa,San Jose Aculco,42,74,0.0,22.0
Iztapalapa,San Jose Buenavista,67,22,2.0,7.0
Iztapalapa,San Juan Estrella,46,18,0.0,8.0
Iztapalapa,San Juan Joya,7,38,2.0,9.0
Iztapalapa,San Juan Xalpa,538,306,3.0,85.0
Iztapalapa,San Miguel 8Va Ampliacion,48,55,0.0,16.0
Iztapalapa,San Miguel Teotongo (Secc La Cruz),72,37,1.0,8.0
Iztapalapa,San Miguel Teotongo (Secc Las Torres),12,13,0.0,4.0
Iztapalapa,San Miguel Teotongo Secc Acorralado,25,15,0.0,4.0
Iztapalapa,San Miguel Teotongo Secc Avisadero,4,16,0.0,5.0
Iztapalapa,San Miguel Teotongo Secc Capilla,14,13,0.0,5.0
Iztapalapa,San Miguel Teotongo Secc Corrales,10,19,0.0,5.0
Iztapalapa,San Miguel Teotongo Secc Guadalupe,48,44,0.0,8.0
Iztapalapa,San Miguel Teotongo Secc Jardines,40,19,0.0,7.0
Iztapalapa,San Miguel Teotongo Secc Loma Alta,15,12,1.0,3.0
Iztapalapa,San Miguel Teotongo Secc Mercedes,8,17,1.0,6.0
Iztapalapa,San Miguel Teotongo Secc Palmitas,8,11,0.0,2.0
Iztapalapa,San Miguel Teotongo Secc Puente,65,26,0.0,8.0
Iztapalapa,San Miguel Teotongo Secc Ranchito,226,27,0.0,9.0
Iztapalapa,San Miguel Teotongo Secc Rancho Bajo,3,5,0.0,1.0
Iztapalapa,San Miguel Teotongo Seccion Iztlahuaca,17,15,0.0,3.0
Iztapalapa,San Nicolas Tolentino,202,69,0.0,15.0
Iztapalapa,San Pablo,170,24,0.0,7.0
Iztapalapa,Santa Isabel Industrial,17,55,2.0,15.0
Iztapalapa,Santa Maria Aztahuacan,2600,240,3.0,65.0
Iztapalapa,Santa Maria Del Monte,3,3,0.0,1.0
Iztapalapa,Santa Martha Acatitla Norte,66,311,4.0,88.0
Iztapalapa,Santa Martha Acatitla Sur,300,176,1.0,55.0
Iztapalapa,Santiago Acahualtepec 1A Ampliaciën,98,62,0.0,15.0
Iztapalapa,Santiago Acahualtepec 2A Ampliacion,118,197,2.0,62.0
Iztapalapa,Sector Popular,81,121,1.0,26.0
Iztapalapa,Sideral,447,14,0.0,7.0
Iztapalapa,Sinatel,12,28,0.0,9.0
Iztapalapa,Tenorios,731,89,0.0,27.0
Iztapalapa,Tepalcates,41,202,4.0,59.0
Iztapalapa,Unidad Ejercito Constitucionalista,34,252,4.0,86.0
Iztapalapa,Unidad Modelo,59,55,2.0,12.0
Iztapalapa,Unidad Santa Cruz Meyehualco,335,316,2.0,81.0
Iztapalapa,Unidad Vicente Guerrero,269,399,9.0,113.0
Iztapalapa,Uscovi,12,10,1.0,4.0
Iztapalapa,Valle De Luces,506,72,0.0,26.0
Iztapalapa,Valle De San Lorenzo,40,140,2.0,45.0
Iztapalapa,Valle Del Sur,50,54,5.0,24.0
Iztapalapa,Xalpa,565,224,6.0,58.0
Iztapalapa,Zacahuitzco,11,36,0.0,11.0
La Magdalena Contreras,Ampliacion Lomas De San Bernabe,1,51,0.0,11.0
La Magdalena Contreras,Ampliacion Potrerillo,1,19,0.0,3.0
La Magdalena Contreras,Barranca Seca,1,82,0.0,18.0
La Magdalena Contreras,Barrio San Francisco,2,59,0.0,16.0
La Magdalena Contreras,Barros Sierra,4,34,0.0,13.0
La Magdalena Contreras,Cuauhtemoc,8,74,1.0,26.0
La Magdalena Contreras,El Ermitaño,4,58,0.0,21.0
La Magdalena Contreras,El Maestro,2,8,0.0,2.0
La Magdalena Contreras,El Ocotal,8,55,0.0,18.0
La Magdalena Contreras,El Rosal,6,82,1.0,26.0
La Magdalena Contreras,El Tanque,11,74,1.0,30.0
La Magdalena Contreras,El Toro,2,46,0.0,15.0
La Magdalena Contreras,Heroes De Padierna,9,89,0.0,27.0
La Magdalena Contreras,Huayatla,5,57,1.0,13.0
La Magdalena Contreras,La Carbonera,1,53,0.0,17.0
La Magdalena Contreras,La Concepcion,5,41,0.0,9.0
La Magdalena Contreras,La Cruz,9,73,1.0,19.0
La Magdalena Contreras,La Guadalupe,2,28,0.0,7.0
La Magdalena Contreras,La Malinche,5,99,0.0,27.0
La Magdalena Contreras,Las Cruces,15,101,1.0,37.0
La Magdalena Contreras,Las Huertas,1,11,0.0,5.0
La Magdalena Contreras,Lomas De San Bernabe,9,77,1.0,22.0
La Magdalena Contreras,Lomas Quebradas,4,76,0.0,25.0
La Magdalena Contreras,Los Padres,1,45,0.0,19.0
La Magdalena Contreras,Palmas,1,15,1.0,6.0
La Magdalena Contreras,Potrerillo,6,22,6.0,6.0
La Magdalena Contreras,Progreso Tizapan,1,2,0.0,1.0
La Magdalena Contreras,Pueblo La Magdalena,4,51,0.0,16.0
La Magdalena Contreras,Pueblo Nuevo Alto,5,91,2.0,35.0
La Magdalena Contreras,Pueblo Nuevo Bajo,1,45,0.0,10.0
La Magdalena Contreras,Pueblo San Bernabe Ocotepec,11,153,2.0,42.0
La Magdalena Contreras,Pueblo San Nicolas Totolapan,13,253,1.0,73.0
La Magdalena Contreras,San Bartolo Ameyalco,4,31,0.0,16.0
La Magdalena Contreras,San Francisco,5,14,0.0,5.0
La Magdalena Contreras,San Jeronimo Aculco,6,113,0.0,27.0
La Magdalena Contreras,San Jeronimo Lidice,37,300,1.0,90.0
La Magdalena Contreras,Santa Teresa,5,52,0.0,13.0
La Magdalena Contreras,Tierra Unida,3,24,1.0,7.0
Miguel Hidalgo,10 De Abril,2,19,0.0,6.0
Miguel Hidalgo,16 De Septiembre,1,31,0.0,12.0
Miguel Hidalgo,5 De Mayo,3,31,2.0,7.0
Miguel Hidalgo,Agricultura,10,85,1.0,30.0
Miguel Hidalgo,Ahuehuetes Anahuac,2,30,0.0,10.0
Miguel Hidalgo,America,2,77,0.0,21.0
Miguel Hidalgo,Ampliacion Daniel Garza,6,107,0.0,27.0
Miguel Hidalgo,Ampliacion Granada,18,164,2.0,31.0
Miguel Hidalgo,Ampliacion Torre Blanca,3,42,0.0,11.0
Miguel Hidalgo,Anahuac I Seccion,16,329,0.0,78.0
Miguel Hidalgo,Anahuac Ii Seccion,18,302,2.0,94.0
Miguel Hidalgo,Anzures,21,303,1.0,54.0
Miguel Hidalgo,Argentina Antigua,2,87,0.0,22.0
Miguel Hidalgo,Argentina Poniente,9,120,0.0,32.0
Miguel Hidalgo,Bosque De Chapultepec I Seccion,12,131,0.0,33.0
Miguel Hidalgo,Bosque De Chapultepec Ii Seccion,4,41,0.0,6.0
Miguel Hidalgo,Bosque De Las Lomas,20,113,0.0,22.0
Miguel Hidalgo,Bosques De Las Lomas,5,4,0.0,0.0
Miguel Hidalgo,Condesa,1,1,0.0,1.0
Miguel Hidalgo,Cuauhtemoc Pensil,4,48,0.0,11.0
Miguel Hidalgo,Daniel Garza,2,74,0.0,24.0
Miguel Hidalgo,Escandon I Seccion,19,175,3.0,51.0
Miguel Hidalgo,Escandon Ii Seccion,26,255,2.0,60.0
Miguel Hidalgo,Francisco I Madero,6,20,1.0,9.0
Miguel Hidalgo,Granada,25,368,0.0,86.0
Miguel Hidalgo,Huichapan,5,43,0.0,13.0
Miguel Hidalgo,Ignacio Manuel Altamirano,1,14,0.0,4.0
Miguel Hidalgo,Irrigacion,30,165,1.0,31.0
Miguel Hidalgo,Lago Norte,2,15,0.0,6.0
Miguel Hidalgo,Lago Sur,1,16,0.0,3.0
Miguel Hidalgo,Legaria,1,53,0.0,12.0
Miguel Hidalgo,Loma Hermosa,6,66,0.0,17.0
Miguel Hidalgo,Lomas Altas,10,38,0.0,7.0
Miguel Hidalgo,Lomas De Bezares,3,24,0.0,7.0
Miguel Hidalgo,Lomas De Chapultepec I Seccion,5,31,0.0,5.0
Miguel Hidalgo,Lomas De Chapultepec Ii Seccion,7,25,1.0,4.0
Miguel Hidalgo,Lomas De Chapultepec Iii Seccion,11,206,0.0,42.0
Miguel Hidalgo,Lomas De Chapultepec Iv Seccion,10,79,0.0,11.0
Miguel Hidalgo,Lomas De Chapultepec V Seccion,15,76,2.0,12.0
Miguel Hidalgo,Lomas De Chapultepec Vi Seccion,8,44,0.0,5.0
Miguel Hidalgo,Lomas De Chapultepec Vii Seccion,2,16,0.0,1.0
Miguel Hidalgo,Lomas De Chapultepec Viii Seccion,8,49,0.0,12.0
Miguel Hidalgo,Lomas De Sotelo,3,46,0.0,12.0
Miguel Hidalgo,Los Manzanos,5,82,1.0,25.0
Miguel Hidalgo,Manuel Avila Camacho,1,29,0.0,14.0
Miguel Hidalgo,Mariano Escobedo,4,31,0.0,7.0
Miguel Hidalgo,Mexico Nuevo,2,57,0.0,13.0
Miguel Hidalgo,Modelo Pensil,2,47,0.0,9.0
Miguel Hidalgo,Molino Del Rey,3,22,0.0,3.0
Miguel Hidalgo,Nextitla,4,29,0.0,7.0
Miguel Hidalgo,Observatorio,5,115,0.0,21.0
Miguel Hidalgo,Panteon Civil De Dolores,3,12,0.0,1.0
Miguel Hidalgo,Pensil Norte,4,93,1.0,29.0
Miguel Hidalgo,Pensil Sur,3,28,0.0,14.0
Miguel Hidalgo,Periodista,5,96,1.0,25.0
Miguel Hidalgo,Plutarco Elias Calles,3,22,1.0,4.0
Miguel Hidalgo,Polanco I Seccion,8,121,0.0,27.0
Miguel Hidalgo,Polanco Ii Seccion,32,134,2.0,32.0
Miguel Hidalgo,Polanco Iii Seccion,17,173,1.0,52.0
Miguel Hidalgo,Polanco Iv Seccion,20,210,2.0,41.0
Miguel Hidalgo,Polanco V Seccion,33,409,2.0,94.0
Miguel Hidalgo,Popo,5,27,0.0,13.0
Miguel Hidalgo,Popotla,24,239,3.0,58.0
Miguel Hidalgo,Real De Las Lomas,2,7,0.0,1.0
Miguel Hidalgo,Reforma Pensil,5,58,1.0,15.0
Miguel Hidalgo,Reforma Social,5,63,0.0,13.0
Miguel Hidalgo,Residencial Militar,3,30,0.0,6.0
Miguel Hidalgo,San Diego Ocoyoacac,22,81,6.0,29.0
Miguel Hidalgo,San Joaquin,6,55,0.0,14.0
Miguel Hidalgo,San Juanico,12,54,0.0,10.0
Miguel Hidalgo,San Lorenzo Tlatenango,9,39,0.0,18.0
Miguel Hidalgo,San Miguel Chapultepec I Seccion,27,229,5.0,47.0
Miguel Hidalgo,San Miguel Chapultepec Ii Seccion,26,111,0.0,29.0
Miguel Hidalgo,Tacuba,43,343,3.0,80.0
Miguel Hidalgo,Tacubaya,17,343,5.0,83.0
Miguel Hidalgo,Tlaxpana,12,149,2.0,39.0
Miguel Hidalgo,Torre Blanca,8,90,2.0,27.0
Miguel Hidalgo,Un Hogar Para Nosotros,5,38,1.0,8.0
Miguel Hidalgo,Ventura Perez De Alva,9,35,0.0,14.0
Miguel Hidalgo,Veronica Anzures,17,146,0.0,33.0
Milpa Alta,Barrio Centro,10,26,1.0,5.0
Milpa Alta,Barrio Chalmita,32,26,2.0,10.0
Milpa Alta,Barrio Cruztitla,11,77,3.0,26.0
Milpa Alta,Barrio La Concepcion,1,39,0.0,10.0
Milpa Alta,Barrio La Lupita Teticpac,5,20,1.0,4.0
Milpa Alta,Barrio La Lupita Xolco,3,4,0.0,0.0
Milpa Alta,Barrio La Luz,4,16,2.0,5.0
Milpa Alta,Barrio Los Angeles,1,19,0.0,5.0
Milpa Alta,Barrio Nochtla,6,18,3.0,6.0
Milpa Alta,Barrio Ocotitla,21,23,2.0,4.0
Milpa Alta,Barrio Panchimalco,9,27,1.0,8.0
Milpa Alta,Barrio San Jose,5,27,0.0,5.0
Milpa Alta,Barrio San Juan,1,21,0.0,7.0
Milpa Alta,Barrio San Marcos,1,22,0.0,8.0
Milpa Alta,Barrio San Mateo,8,41,1.0,14.0
Milpa Alta,Barrio San Miguel,5,44,1.0,8.0
Milpa Alta,Barrio San Miguel Pueblo Santa Ana Tlacotenco,3,6,0.0,1.0
Milpa Alta,Barrio Santa Cruz,22,57,3.0,13.0
Milpa Alta,Barrio Santa Martha,42,54,1.0,17.0
Milpa Alta,Barrio Tecaxtitla,5,25,0.0,8.0
Milpa Alta,Barrio Tenantitla,38,28,1.0,5.0
Milpa Alta,Barrio Tula,5,17,1.0,8.0
Milpa Alta,Barrio Xaltipac,4,23,1.0,8.0
Milpa Alta,Barrio Xochitepetl,23,86,4.0,26.0
Milpa Alta,La Conchita,23,23,19.0,10.0
Milpa Alta,Pueblo San Agustin Ohtenco,13,19,0.0,5.0
Milpa Alta,Pueblo San Bartolome Xicomulco,93,49,11.0,13.0
