alcaldia_catalogo,colonia_catalogo,total_incidencias,total_delitos,total_falla_alumbrado,total_delitos_nocturnos
Benito Juárez,Ermita,10,31,1.0,8.0
Benito Juárez,Escandon Ii Seccion,1,1,1.0,0.0
Benito Juárez,Extremadura Insurgentes,14,58,0.0,14.0
Benito Juárez,General Pedro Ma Anaya,21,127,5.0,32.0
Benito Juárez,Independencia,28,166,4.0,51.0
Benito Juárez,Insurgentes Mixcoac,25,212,5.0,52.0
Benito Juárez,Insurgentes San Borja,10,52,0.0,12.0
Benito Juárez,Iztaccihuatl,11,48,3.0,12.0
Benito Juárez,Josefa Ortiz De Dominguez,8,21,0.0,10.0
Benito Juárez,Letran Valle,31,223,2.0,55.0
Benito Juárez,Merced Gomez,4,61,0.0,8.0
Benito Juárez,Miguel Aleman,5,17,0.0,3.0
Benito Juárez,Miravalle,19,73,2.0,17.0
Benito Juárez,Mixcoac,23,129,1.0,30.0
Benito Juárez,Moderna,43,183,7.0,53.0
Benito Juárez,Napoles,45,491,2.0,115.0
Benito Juárez,Narvarte Oriente,82,488,10.0,122.0
Benito Juárez,Narvarte Poniente,102,636,14.0,191.0
Benito Juárez,Nativitas,52,191,17.0,44.0
Benito Juárez,Niños Heroes,17,146,4.0,48.0
Benito Juárez,Noche Buena,18,50,0.0,16.0
Benito Juárez,Periodista,18,26,2.0,11.0
Benito Juárez,Piedad Narvarte,11,326,1.0,81.0
Benito Juárez,Portales Norte,68,340,7.0,99.0
Benito Juárez,Portales Oriente,9,99,1.0,27.0
Benito Juárez,Portales Sur,68,325,7.0,95.0
Benito Juárez,Postal,13,58,0.0,21.0
Benito Juárez,Residencial Emperadores,4,47,0.0,8.0
Benito Juárez,San Jose Insurgentes,28,165,1.0,50.0
Benito Juárez,San Juan,16,137,2.0,33.0
Benito Juárez,San Pedro De Los Pinos,82,404,12.0,80.0
Benito Juárez,San Simon Ticumac,35,214,8.0,63.0
Benito Juárez,Santa Cruz Atoyac,46,531,10.0,108.0
Benito Juárez,Santa Maria Nonoalco,39,169,1.0,53.0
Benito Juárez,Tlacoquemecatl,32,191,1.0,35.0
Benito Juárez,Vertiz Narvarte,21,110,1.0,20.0
Benito Juárez,Viaducto Piedad,2,7,0.0,3.0
Benito Juárez,Villa De Cortes,21,46,7.0,15.0
Benito Juárez,Xoco,18,420,1.0,105.0
Coyoacán,Adolfo Ruiz Cortinez,61,147,13.0,56.0
Coyoacán,Ajusco,139,578,28.0,175.0
Coyoacán,Alianza Popular Revolucionaria,58,114,18.0,36.0
Coyoacán,Atlantida,9,53,1.0,15.0
Coyoacán,Avante,64,133,10.0,34.0
Coyoacán,Barrio Del Niño Jesus,11,51,0.0,14.0
Coyoacán,Barrio La Concepcion,10,59,0.0,17.0
Coyoacán,Barrio Oxtopulco Universidad,9,109,0.0,30.0
Coyoacán,Barrio San Lucas,21,50,0.0,16.0
Coyoacán,Barrio Santa Catarina,28,148,3.0,32.0
Coyoacán,Bosques De Tetlameya,16,12,2.0,6.0
Coyoacán,Cafetales,14,40,6.0,9.0
Coyoacán,Campestre Churubusco,60,329,9.0,101.0
Coyoacán,Campestre Coyoacan,3,11,0.0,2.0
Coyoacán,Cantil Del Pedregal,17,12,3.0,5.0
Coyoacán,Carmen Serdan,20,79,0.0,22.0
Coyoacán,Churubusco Country Club,11,75,1.0,19.0
Coyoacán,Ciudad Jardin,24,82,3.0,24.0
Coyoacán,Ciudad Universitaria,13,230,0.0,42.0
Coyoacán,Copilco El Alto,6,37,0.0,15.0
Coyoacán,Copilco El Bajo,7,88,1.0,24.0
Coyoacán,Copilco Universidad,5,76,0.0,22.0
Coyoacán,Cuadrante De San Francisco,12,108,5.0,28.0
Coyoacán,Culhuacan C.T.M. Secciën X,30,57,7.0,21.0
Coyoacán,Culhuacan Ctm Canal Nacional,12,49,2.0,8.0
Coyoacán,Culhuacan Ctm Croc,21,34,0.0,3.0
Coyoacán,Culhuacan Ctm Seccion Iii,9,15,1.0,5.0
Coyoacán,Culhuacan Ctm Seccion Ix-A,19,48,9.0,14.0
Coyoacán,Culhuacan Ctm Seccion Ix-B,37,47,6.0,18.0
Coyoacán,Culhuacan Ctm Seccion Piloto,11,33,0.0,14.0
Coyoacán,Culhuacan Ctm Seccion V,56,103,13.0,42.0
Coyoacán,Culhuacan Ctm Seccion Vi,12,79,3.0,24.0
Coyoacán,Culhuacan Ctm Seccion Vii,15,70,2.0,21.0
Coyoacán,Culhuacan Ctm Seccion Viii,32,128,4.0,44.0
Coyoacán,Culhuacan Ctm Seccion X-A,14,27,2.0,8.0
Coyoacán,Del Carmen,70,427,10.0,128.0
Coyoacán,Educacion,43,94,6.0,27.0
Coyoacán,El Caracol,5,35,0.0,8.0
Coyoacán,El Centinela,7,44,1.0,15.0
Coyoacán,El Mirador,2,25,0.0,5.0
Coyoacán,El Parque De Coyoacan,6,19,1.0,7.0
Coyoacán,El Reloj,10,30,2.0,6.0
Coyoacán,El Rosario,6,26,2.0,8.0
Coyoacán,El Rosedal,14,88,1.0,31.0
Coyoacán,Emiliano Zapata,5,21,1.0,6.0
Coyoacán,Emiliano Zapata Fraccionamiento Popular,10,63,1.0,19.0
Coyoacán,Espartaco,23,70,1.0,21.0
Coyoacán,Ex Ejido San Pablo Tepetlapa,9,26,1.0,5.0
Coyoacán,Ex Hacienda Coapa,10,51,0.0,19.0
Coyoacán,Ex-Ejido De San Francisco Culhuacan,14,163,1.0,56.0
Coyoacán,Ex-Hacienda De Guadalupe Chimalistac,1,1,0.0,0.0
Coyoacán,Haciendas De Coyoacan,5,45,0.0,12.0
Coyoacán,Hermosillo,6,13,1.0,3.0
Coyoacán,Huayamilpas,9,29,3.0,10.0
Coyoacán,Insurgentes Cuicuilco,17,318,0.0,73.0
Coyoacán,Jardines De Coyoacan,7,41,1.0,14.0
Coyoacán,Jardines Del Pedregal De San Angel,5,65,0.0,13.0
Coyoacán,Los Cedros,9,14,1.0,3.0
Coyoacán,Los Cipreses,10,103,0.0,24.0
Coyoacán,Los Girasoles,28,106,4.0,22.0
Coyoacán,Los Olivos,9,6,6.0,2.0
Coyoacán,Los Sauces,5,36,0.0,14.0
Coyoacán,Nueva Diaz Ordaz,2,16,0.0,7.0
Coyoacán,Olimpica,6,14,0.0,6.0
Coyoacán,Parque San Andres,64,154,2.0,50.0
Coyoacán,Paseos De Taxqueña,63,141,12.0,37.0
Coyoacán,Pedregal De Carrasco,54,237,8.0,66.0
Coyoacán,Pedregal De Santa Ursula,119,429,26.0,139.0
Coyoacán,Pedregal De Santo Domingo,235,1033,50.0,322.0
Coyoacán,Pedregal De Sn Francisco,1,8,0.0,1.0
Coyoacán,Petrolera Taxqueña,4,40,0.0,13.0
Coyoacán,Prado Churubusco,70,138,5.0,36.0
Coyoacán,Prados De Coyoacan,23,29,5.0,7.0
Coyoacán,Presidentes Ejidales 1A Seccion,36,39,8.0,15.0
Coyoacán,Presidentes Ejidales 2A Seccion,28,56,4.0,15.0
Coyoacán,Pueblo De Los Reyes,44,203,5.0,63.0
Coyoacán,Pueblo De Santa Ursula Coapa,35,211,4.0,81.0
Coyoacán,Pueblo La Candelaria,14,123,3.0,44.0
Coyoacán,Pueblo San Pablo Tepetlapa,16,80,1.0,30.0
Coyoacán,Romero De Terreros,39,289,9.0,62.0
Coyoacán,San Diego Churubusco,18,79,2.0,26.0
Coyoacán,San Francisco Culhuacan Barrio De La Magdalena,11,46,1.0,11.0
Coyoacán,San Francisco Culhuacan Barrio De San Francisco,27,83,7.0,21.0
Coyoacán,San Francisco Culhuacan Barrio De San Juan,7,49,1.0,21.0
