alcaldia,total_incidencias
Desconocida,45590
Iztapalapa,45167
Cuauhtémoc,3343
Gustavo A. Madero,2977
Coyoacán,2252
Iztacalco,2113
Azcapotzalco,1795
Tlalpan,1604
Benito Juárez,1577
Xochimilco,1498
Álvaro Obregón,1478
Milpa Alta,951
Miguel Hidalgo,776
Tláhuac,730
Venustiano Carranza,698
Cuajimalpa De Morelos,375
La Magdalena Contreras,223
